"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.758595824E-2,-5.900154114E-1,-1.309732437E0,-6.259656698E-2,1.437857981E0
2.757195826E-2,-6.491549015E-1,-1.287587762E0,-2.767848410E-2,1.442237993E0
3.755795828E-2,-6.167237759E-1,-1.267646790E0,-2.393301390E-2,1.409911128E0
4.754395830E-2,-5.132512450E-1,-1.236914396E0,-4.990198463E-2,1.340102337E0
5.752895831E-2,-3.772880733E-1,-1.186566234E0,-9.685564786E-2,1.248866179E0
6.751495833E-2,-2.506350577E-1,-1.165152788E0,-1.433869302E-1,1.200399418E0
7.750095834E-2,-1.722662300E-1,-1.178028941E0,-1.840571165E-1,1.204701151E0
8.748695825E-2,-1.536333561E-1,-1.224793077E0,-2.033078372E-1,1.251021728E0
9.747195826E-2,-2.011300325E-1,-1.308557987E0,-2.009171247E-1,1.339083637E0
1.074579583E-1,-2.959396243E-1,-1.432299376E0,-1.693427712E-1,1.472324263E0
1.174439583E-1,-4.208229780E-1,-1.574792027E0,-1.115076914E-1,1.633859196E0
1.274299583E-1,-5.511978865E-1,-1.720353961E0,-3.820027784E-2,1.806902356E0
1.374149583E-1,-6.553743482E-1,-1.833572984E0,4.701581597E-2,1.947746367E0
1.474009583E-1,-7.247281075E-1,-1.854032397E0,1.312316656E-1,1.994965842E0
1.573869582E-1,-7.568938136E-1,-1.794496298E0,2.051687390E-1,1.958366518E0
1.673729583E-1,-7.486078143E-1,-1.691328764E0,2.562672794E-1,1.867265264E0
1.773579583E-1,-6.787337065E-1,-1.593104959E0,2.982711792E-1,1.757164918E0
1.873439583E-1,-5.523096323E-1,-1.482906342E0,3.262638748E-1,1.615705810E0
1.973299583E-1,-3.927929401E-1,-1.385216236E0,3.317838013E-1,1.477562454E0
2.073159583E-1,-2.318033278E-1,-1.327974081E0,3.204445541E-1,1.385616345E0
2.173009583E-1,-9.147950262E-2,-1.330352187E0,3.042021990E-1,1.367751593E0
2.272869583E-1,1.319527347E-2,-1.360076189E0,2.941247821E-1,1.391578508E0
2.372729583E-1,8.323507756E-2,-1.500234842E0,3.095562160E-1,1.534098338E0
2.472579583E-1,1.030233577E-1,-1.715070963E0,2.961992919E-1,1.743506880E0
2.572439583E-1,6.945501268E-2,-1.935158134E0,2.568897009E-1,1.953369734E0
2.672299583E-1,1.808800735E-3,-2.101675272E0,2.155541629E-1,2.112701072E0
2.772159583E-1,-6.973302364E-2,-2.202007532E0,2.059904933E-1,2.212720486E0
2.872009584E-1,-1.188770756E-1,-2.156309843E0,2.387912720E-1,2.172745998E0
2.971869583E-1,-1.370899081E-1,-1.985963345E0,3.000783026E-1,2.013179335E0
3.071729583E-1,-1.247620136E-1,-1.750507355E0,3.635858595E-1,1.792215455E0
3.171589583E-1,-1.007807776E-1,-1.508747458E0,4.262026250E-1,1.571026523E0
3.271439583E-1,-7.753935456E-2,-1.314187527E0,4.796021879E-1,1.401113652E0
3.371299583E-1,-6.676155329E-2,-1.212363720E0,5.344952941E-1,1.326637899E0
3.471159583E-1,-7.513646781E-2,-1.163745046E0,5.938939452E-1,1.308685615E0
3.571019582E-1,-9.590433538E-2,-9.830634594E-1,6.452700496E-1,1.179824073E0
3.670869583E-1,-1.072772145E-1,-7.892438769E-1,7.274918556E-1,1.078730132E0
3.770729583E-1,-1.117204279E-1,-6.943565011E-1,8.330675960E-1,1.090235765E0
3.870589583E-1,-9.946080297E-2,-7.177106142E-1,9.266533256E-1,1.176302411E0
3.970449583E-1,-4.640982673E-2,-8.382402658E-1,9.943338037E-1,1.301345584E0
4.070299583E-1,5.583187938E-2,-9.802181125E-1,1.025269151E0,1.419549780E0
4.170159583E-1,1.919694692E-1,-1.084574223E0,1.027587414E0,1.506349699E0
4.270019582E-1,3.665443957E-1,-1.143493056E0,1.038190365E0,1.587378467E0
4.369869583E-1,5.729311109E-1,-1.145814538E0,1.072702885E0,1.670877761E0
4.469729583E-1,7.993660569E-1,-1.080037594E0,1.124200821E0,1.751940291E0
4.569589583E-1,1.022043228E0,-1.015683055E0,1.167623878E0,1.854596977E0
4.669449583E-1,1.232280731E0,-9.730311036E-1,1.186176300E0,1.967821014E0
4.769299583E-1,1.413086534E0,-9.285312891E-1,1.148480058E0,2.044013295E0
4.869159583E-1,1.557863355E0,-8.498349190E-1,1.043476462E0,2.058640510E0
4.969019582E-1,1.654211998E0,-7.360242009E-1,8.829807639E-1,2.014399163E0
5.068879583E-1,1.677567482E0,-6.659374833E-1,7.087721825E-1,1.939088290E0
5.168729583E-1,1.615894198E0,-6.952016354E-1,5.626205802E-1,1.846878797E0
5.268589583E-1,1.484701157E0,-8.325821161E-1,4.800689816E-1,1.768614354E0
5.368449583E-1,1.316255212E0,-1.022279501E0,4.702253938E-1,1.731674069E0
5.468309583E-1,1.136838913E0,-1.198333144E0,5.139014125E-1,1.729884303E0
5.568159583E-1,9.665091634E-1,-1.323075652E0,6.037362814E-1,1.746186314E0
5.668019583E-1,8.270345926E-1,-1.400826693E0,7.382789850E-1,1.786437097E0
5.767879583E-1,7.382866144E-1,-1.444681764E0,9.020996094E-1,1.856328696E0
5.867739583E-1,7.142668366E-1,-1.430565596E0,1.060979843E0,1.918951085E0
5.967589583E-1,7.537189126E-1,-1.302550077E0,1.179850340E0,1.912269784E0
6.067449583E-1,8.321387768E-1,-1.067728519E0,1.224396348E0,1.825279582E0
