item,value
dataset,data\drivetrain\Example\Raw Data.csv
measurement_type,drivetrain
run_name,Example
quantity,illuminance
data_stage,raw
version,v0.1.0
detected_format,"csv (comma, decimal point)"
metadata_source,csv_meta_folder
time_column,Time (s)
value_column,Illuminance (lx)
rows_used,153
analysis_start,0.0
analysis_end,24.44789599
smoothing_window,5
outlier_z_threshold,3.0
possible_outliers,0
minimum_value,58.99500275
maximum_value,1367.01001
mean_value,636.2439950535947
median_value,661.0275269
standard_deviation,350.61567067106637
rotor_speed_rpm,38.446578723344714
motor_speed_rpm,1038.0576255303074
motor_to_rotor_gear_ratio,0.037037037037037035
